-1/-1 -1/0 -1/1 0/-1 0/0 0/1 1/-1 1/0 1/1 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
6000/6000 6000/6000 6000/6000 6000/6000 6000/6000 0/2 6000/6000 0/0 6000/6000 
cnt is 2
